date,army_size,datetime,n_month,month,year,cause,count,countsqr,order
1855-04-01T07:00:00.000Z,32252,1855-04-01T07:00:00.0,4,April,1855,disease,477,21.840329667841555,3
1855-05-01T07:00:00.000Z,35473,1855-05-01T07:00:00.0,5,May,1855,disease,508,22.538855339169288,3
1855-06-01T07:00:00.000Z,38863,1855-06-01T07:00:00.0,6,June,1855,disease,802,28.319604517012593,3
1855-07-01T07:00:00.000Z,42647,1855-07-01T07:00:00.0,7,July,1855,disease,382,19.544820285692065,3
1855-08-01T07:00:00.000Z,44614,1855-08-01T07:00:00.0,8,August,1855,disease,483,21.97726097583591,3
1855-09-01T07:00:00.000Z,47751,1855-09-01T07:00:00.0,9,September,1855,disease,189,13.74772708486752,3
1855-10-01T07:00:00.000Z,46852,1855-10-01T07:00:00.0,10,October,1855,disease,128,11.313708498984761,3
1855-11-01T07:00:00.000Z,37853,1855-11-01T07:00:00.0,11,November,1855,disease,178,13.341664064126334,3
1855-12-01T08:00:00.000Z,43217,1855-12-01T08:00:00.0,12,December,1855,disease,91,9.539392014169456,3
1856-01-01T08:00:00.000Z,44212,1856-01-01T08:00:00.0,1,January,1856,disease,42,6.48074069840786,3
1856-02-01T08:00:00.000Z,43485,1856-02-01T08:00:00.0,2,February,1856,disease,24,4.898979485566357,3
1856-03-01T08:00:00.000Z,46140,1856-03-01T08:00:00.0,3,March,1856,disease,15,3.872983346207417,3
1855-04-01T07:00:00.000Z,32252,1855-04-01T07:00:00.0,4,April,1855,wounds,48,6.928203230275509,1
1855-05-01T07:00:00.000Z,35473,1855-05-01T07:00:00.0,5,May,1855,wounds,49,7.0,1
1855-06-01T07:00:00.000Z,38863,1855-06-01T07:00:00.0,6,June,1855,wounds,209,14.45683229480096,1
1855-07-01T07:00:00.000Z,42647,1855-07-01T07:00:00.0,7,July,1855,wounds,134,11.575836902790225,1
1855-08-01T07:00:00.000Z,44614,1855-08-01T07:00:00.0,8,August,1855,wounds,164,12.806248474865697,1
1855-09-01T07:00:00.000Z,47751,1855-09-01T07:00:00.0,9,September,1855,wounds,276,16.61324772583615,1
1855-10-01T07:00:00.000Z,46852,1855-10-01T07:00:00.0,10,October,1855,wounds,53,7.280109889280518,1
1855-11-01T07:00:00.000Z,37853,1855-11-01T07:00:00.0,11,November,1855,wounds,33,5.744562646538029,1
1855-12-01T08:00:00.000Z,43217,1855-12-01T08:00:00.0,12,December,1855,wounds,18,4.242640687119285,1
1856-01-01T08:00:00.000Z,44212,1856-01-01T08:00:00.0,1,January,1856,wounds,2,1.4142135623730951,1
1856-02-01T08:00:00.000Z,43485,1856-02-01T08:00:00.0,2,February,1856,wounds,0,0.0,1
1856-03-01T08:00:00.000Z,46140,1856-03-01T08:00:00.0,3,March,1856,wounds,0,0.0,1
1855-04-01T07:00:00.000Z,32252,1855-04-01T07:00:00.0,4,April,1855,other,57,7.54983443527075,2
1855-05-01T07:00:00.000Z,35473,1855-05-01T07:00:00.0,5,May,1855,other,37,6.082762530298219,2
1855-06-01T07:00:00.000Z,38863,1855-06-01T07:00:00.0,6,June,1855,other,31,5.5677643628300215,2
1855-07-01T07:00:00.000Z,42647,1855-07-01T07:00:00.0,7,July,1855,other,33,5.744562646538029,2
1855-08-01T07:00:00.000Z,44614,1855-08-01T07:00:00.0,8,August,1855,other,25,5.0,2
1855-09-01T07:00:00.000Z,47751,1855-09-01T07:00:00.0,9,September,1855,other,20,4.47213595499958,2
1855-10-01T07:00:00.000Z,46852,1855-10-01T07:00:00.0,10,October,1855,other,18,4.242640687119285,2
1855-11-01T07:00:00.000Z,37853,1855-11-01T07:00:00.0,11,November,1855,other,32,5.656854249492381,2
1855-12-01T08:00:00.000Z,43217,1855-12-01T08:00:00.0,12,December,1855,other,28,5.291502622129181,2
1856-01-01T08:00:00.000Z,44212,1856-01-01T08:00:00.0,1,January,1856,other,48,6.928203230275509,2
1856-02-01T08:00:00.000Z,43485,1856-02-01T08:00:00.0,2,February,1856,other,19,4.358898943540674,2
1856-03-01T08:00:00.000Z,46140,1856-03-01T08:00:00.0,3,March,1856,other,35,5.916079783099616,2
